,Date,Country,Death Confirmed,Outbreak Case,Year,Month
396,2015-01-26,Nigeria,8.0,20.0,2015,1
397,2015-01-26,Senegal,0.0,1.0,2015,1
398,2015-01-26,Sierra Leone,3195.0,10491.0,2015,1
399,2015-01-26,Spain,0.0,1.0,2015,1
400,2015-01-26,United Kingdom,0.0,1.0,2015,1
401,2015-01-26,United States of America,1.0,4.0,2015,1
402,2015-01-27,Guinea,1910.0,2917.0,2015,1
403,2015-01-27,Liberia,3686.0,8622.0,2015,1
404,2015-01-27,Mali,6.0,8.0,2015,1
405,2015-01-27,Nigeria,8.0,20.0,2015,1
406,2015-01-27,Senegal,0.0,1.0,2015,1
407,2015-01-27,Sierra Leone,3199.0,10518.0,2015,1
408,2015-01-27,Spain,0.0,1.0,2015,1
409,2015-01-27,United Kingdom,0.0,1.0,2015,1
410,2015-01-27,United States of America,1.0,4.0,2015,1
411,2015-01-28,Guinea,1910.0,2917.0,2015,1
412,2015-01-28,Liberia,3686.0,8622.0,2015,1
413,2015-01-28,Mali,6.0,8.0,2015,1
414,2015-01-28,Nigeria,8.0,20.0,2015,1
415,2015-01-28,Senegal,0.0,1.0,2015,1
416,2015-01-28,Sierra Leone,3199.0,10518.0,2015,1
417,2015-01-28,Spain,0.0,1.0,2015,1
418,2015-01-28,United Kingdom,0.0,1.0,2015,1
419,2015-01-28,United States of America,1.0,4.0,2015,1
420,2015-01-29,Guinea,1911.0,2921.0,2015,1
421,2015-01-29,Liberia,3700.0,8643.0,2015,1
422,2015-01-29,Mali,6.0,8.0,2015,1
423,2015-01-29,Nigeria,8.0,20.0,2015,1
424,2015-01-29,Senegal,0.0,1.0,2015,1
425,2015-01-29,Sierra Leone,3207.0,10537.0,2015,1
426,2015-01-29,Spain,0.0,1.0,2015,1
427,2015-01-29,United Kingdom,0.0,1.0,2015,1
428,2015-01-29,United States of America,1.0,4.0,2015,1
429,2015-01-30,Guinea,1913.0,2920.0,2015,1
430,2015-01-30,Liberia,3700.0,8643.0,2015,1
431,2015-01-30,Mali,6.0,8.0,2015,1
432,2015-01-30,Nigeria,8.0,20.0,2015,1
433,2015-01-30,Senegal,0.0,1.0,2015,1
434,2015-01-30,Sierra Leone,3216.0,10561.0,2015,1
435,2015-01-30,Spain,0.0,1.0,2015,1
436,2015-01-30,United Kingdom,0.0,1.0,2015,1
437,2015-01-30,United States of America,1.0,4.0,2015,1
438,2015-02-02,Guinea,1937.0,2959.0,2015,2
439,2015-02-02,Liberia,3710.0,8668.0,2015,2
